ID,Gender,Ever_Married,Age,Graduated,Work_Experience,Spending_Score,Family_Size,Segmentation,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing,Var_1_Cat_2,Var_1_Cat_3,Var_1_Cat_4,Var_1_Cat_5,Var_1_Cat_6,Var_1_Cat_7,AgeGroup,HighSpender
462809,1,0,-1.2859,0,-0.4563,0,0.8052,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
462643,0,1,-0.3271,1,-0.4563,1,0.1115,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
466315,0,1,1.4108,1,-0.4563,0,-1.2758,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0
461735,1,1,1.4108,1,-0.7787,2,-0.5821,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1
462669,0,1,-0.2072,1,-0.4563,2,2.1924,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
461319,1,1,0.7516,0,-0.7787,1,-0.5821,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
460156,1,0,-0.6866,1,-0.4563,0,0.1115,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
464347,0,0,-0.6267,1,-0.4563,0,0.1115,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
465015,0,1,1.0512,1,-0.7787,0,0.1115,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
465176,0,1,0.6917,1,-0.4563,1,0.8052,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
464041,0,0,-1.0462,1,-0.4563,0,0.1115,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
464942,1,0,-1.4657,0,0.5108,0,0.8052,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
461230,0,0,-1.4657,0,-0.7787,0,0.1115,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
459573,1,1,1.5906,0,-0.4563,0,-1.2758,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0
460849,0,1,0.8715,0,-0.7787,0,-1.2758,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
460563,0,0,-0.1473,0,-0.4563,0,-0.5821,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
466865,0,0,-0.6866,0,2.1228,0,1.4988,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
461644,1,0,-0.7466,0,-0.4563,0,2.1924,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
466772,1,1,0.8715,1,-0.4563,1,0.8052,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0
464291,0,1,2.1299,1,-0.7787,2,-1.2758,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
466084,1,1,0.3321,1,2.4452,0,-1.2758,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
459675,0,0,-1.5256,0,0.1885,0,0.8052,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
465602,1,1,-0.6267,1,2.4452,0,-0.5821,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
459168,0,0,-0.4469,1,0.8332,0,-0.5821,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
461021,0,1,0.8715,0,-0.4563,1,0.1115,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0
465083,1,1,0.7516,0,-0.4563,1,0.1115,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
467604,1,0,-0.7466,0,2.1228,0,2.8861,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
459717,1,1,0.3321,1,-0.4563,1,0.1115,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
465882,1,0,-0.5069,1,-0.7787,0,-1.2758,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
461996,0,0,-0.5069,0,0.8332,0,0.8052,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
463331,0,1,0.0924,1,-0.7787,0,0.1115,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
462216,0,1,-0.0874,0,-0.4563,0,-0.5821,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
462454,1,0,-1.4657,0,-0.4563,0,0.1115,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
467010,1,0,-1.0462,0,2.1228,0,0.1115,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
459861,0,1,2.3696,0,-0.4563,2,-0.5821,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1
467917,0,0,-0.9863,1,0.1885,0,0.8052,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
465572,1,0,-0.6866,0,0.8332,0,-1.2758,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
460593,0,1,-0.9264,0,-0.4563,1,1.4988,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
465891,0,1,-0.9264,1,1.8004,0,-0.5821,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
467442,1,1,0.7516,1,-0.4563,1,-0.5821,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
462044,0,0,0.2123,1,0.5108,0,-1.2758,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
465686,0,0,-1.2859,0,-0.7787,0,-0.5821,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
464590,0,0,-0.9863,1,2.4452,0,0.1115,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
466006,0,1,0.3321,1,-0.4563,0,-0.5821,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
466152,1,1,-0.2072,0,1.8004,0,-1.2758,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
463156,0,1,2.1299,0,-0.4563,2,-0.5821,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1
465729,1,1,-0.1473,1,-0.7787,1,0.8052,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
462384,0,0,-0.8664,1,-0.4563,0,-1.2758,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
462442,1,0,-1.4657,0,-0.7787,0,0.8052,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
464191,0,0,0.0924,1,-0.4563,0,-1.2758,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
462078,0,1,1.0512,0,-0.4563,1,-0.5821,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
467873,0,1,-0.4469,1,-0.4563,1,-0.5821,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
461270,1,1,-0.2072,1,-0.4563,0,-1.2758,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
462960,0,1,0.8115,1,-0.7787,1,-0.5821,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0
464961,1,1,1.9501,0,-0.4563,0,-1.2758,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0
462110,1,1,-0.6866,1,2.4452,1,-0.5821,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
465769,1,0,-1.1061,1,2.1228,0,0.8052,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
462267,1,0,-0.6866,1,1.8004,0,-0.5821,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
465269,0,1,0.0924,1,-0.4563,1,0.1115,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
